latitude,longitude
53.32149086,9.846883323
53.32148147,9.846754745
53.32146898,9.846613426
53.32145473,9.846480489
53.32144425,9.8463473
53.32143,9.8462235
53.32141944,9.846110512
53.32140855,9.846001463
53.32139882,9.845897863
53.32138751,9.845799292
53.32138508,9.845707677
53.32138231,9.845620254
53.32138256,9.845541548
53.32138751,9.845481785
53.3213974,9.845435768
53.32140897,9.845384723
53.32142439,9.845313393
53.32143487,9.845270729
53.32143378,9.845260503
53.32144719,9.845229741
53.32145532,9.845204344
53.3214611,9.845182216
53.32147141,9.845168218
53.32152447,9.845296964
53.32154911,9.845377682
53.32157836,9.84544876
53.32159203,9.845522018
53.3216072,9.845594522
53.32162505,9.845653111
53.32165405,9.845685298
53.32167844,9.845744893
53.32170057,9.845825192
53.3217315,9.845931474
53.3217652,9.846043456
53.32180669,9.846178237
53.32185388,9.846304636
53.32190182,9.846421732
53.32194541,9.846555758
53.32198329,9.846683918
53.32200886,9.846801264
53.3220361,9.846923137
53.32205261,9.847047105
53.32207549,9.847176773
53.32210559,9.847312644
53.32212629,9.847435774
53.32214984,9.847539961
53.32217021,9.847646495
53.32218639,9.847757136
53.32220256,9.847862246
53.32221681,9.847984035
53.32224037,9.848114708
53.32225814,9.848248064
53.32228655,9.848389383
53.32232771,9.848492816
53.32240582,9.848556435
53.32247774,9.848591806
53.32254094,9.848611001
53.32259492,9.848634722
53.32263859,9.848647546
53.32268276,9.848663136
53.32273037,9.848680068
53.32278418,9.84869482
53.32284344,9.848713512
53.32291142,9.848728012
53.32299113,9.848741591
53.32307269,9.848750392
53.32315944,9.848758858
53.32324519,9.848767659
53.32332515,9.848780902
53.32339875,9.848795067
53.32347452,9.848818453
53.32354585,9.848827086
53.32362212,9.848838737
53.32369077,9.848857177
53.32376286,9.848872433
53.32383402,9.848875701
53.32390149,9.848848293
53.32396863,9.848810742
53.32402362,9.848786686
53.32408497,9.848765815
53.32414859,9.848754751
53.32421565,9.848763049
53.32428471,9.848779896
53.32436183,9.848792218
53.32443953,9.84880873
53.32450918,9.848825745
53.3245816,9.848831864
53.324636,9.848851813
53.32466424,9.848902607
53.32468101,9.84895776
53.32468461,9.848987348
53.32468445,9.848987432
53.32468436,9.848987516
53.32475661,9.848911911
53.3248069,9.848843012
53.32484613,9.8487374
53.32487606,9.848620473
53.32489927,9.848508155
53.32492216,9.848398352
53.32495401,9.848292572
53.32498888,9.848176986
53.32501838,9.84805109
